fdc_id,description,food_category,data_type,brand_owner,ingredients_text,dedup_key,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,vitamin_b12_mcg,vitamin_d_mcg,zinc_mg,sodium_mg,potassium_mg,magnesium_mg,omega3_g
172043,"DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust",,SR Legacy,,,"domino's 14"" cheese pizza, crunchy thin crust|",,,,,,,,,,,,,,
173283,"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",,SR Legacy,,,"domino's 14"" cheese pizza, ultimate deep dish crust|",,,,,,,,,,,,,,
172046,"DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza, Classic Hand-Tossed Crust",,SR Legacy,,,"domino's 14"" extravaganzza feast pizza, classic hand-tossed crust|",,,,,,,,,,,,,,
172044,"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",,SR Legacy,,,"domino's 14"" pepperoni pizza, classic hand-tossed crust|",,,,,,,,,,,,,,
170370,"DOMINO'S 14"" Pepperoni Pizza, Crunchy Thin Crust",,SR Legacy,,,"domino's 14"" pepperoni pizza, crunchy thin crust|",,,,,,,,,,,,,,
172045,"DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust",,SR Legacy,,,"domino's 14"" pepperoni pizza, ultimate deep dish crust|",,,,,,,,,,,,,,
170766,"DOMINO'S 14"" Sausage Pizza, Classic Hand-Tossed Crust",,SR Legacy,,,"domino's 14"" sausage pizza, classic hand-tossed crust|",,,,,,,,,,,,,,
170371,"DOMINO'S 14"" Sausage Pizza, Crunchy Thin Crust",,SR Legacy,,,"domino's 14"" sausage pizza, crunchy thin crust|",,,,,,,,,,,,,,
170767,"DOMINO'S 14"" Sausage Pizza, Ultimate Deep Dish Crust",,SR Legacy,,,"domino's 14"" sausage pizza, ultimate deep dish crust|",,,,,,,,,,,,,,
174993,"Doughnuts, cake-type, chocolate, sugared or glazed",,SR Legacy,,,"doughnuts, cake-type, chocolate, sugared or glazed|",,,,,,,,,,,,,,
174990,"Doughnuts, cake-type, plain (includes unsugared, old-fashioned)",,SR Legacy,,,"doughnuts, cake-type, plain (includes unsugared, old-fashioned)|",,,,,,,,,,,,,,
174991,"Doughnuts, cake-type, plain, chocolate-coated or frosted",,SR Legacy,,,"doughnuts, cake-type, plain, chocolate-coated or frosted|",,,,,,,,,,,,,,
174992,"Doughnuts, cake-type, plain, sugared or glazed",,SR Legacy,,,"doughnuts, cake-type, plain, sugared or glazed|",,,,,,,,,,,,,,
172756,"Doughnuts, french crullers, glazed",,SR Legacy,,,"doughnuts, french crullers, glazed|",,,,,,,,,,,,,,
172758,"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",,SR Legacy,,,"doughnuts, yeast-leavened, glazed, enriched (includes honey buns)|",,,,,,,,,,,,,,
175062,"Doughnuts, yeast-leavened, glazed, unenriched (includes honey buns)",,SR Legacy,,,"doughnuts, yeast-leavened, glazed, unenriched (includes honey buns)|",,,,,,,,,,,,,,
172757,"Doughnuts, yeast-leavened, with creme filling",,SR Legacy,,,"doughnuts, yeast-leavened, with creme filling|",,,,,,,,,,,,,,
172759,"Doughnuts, yeast-leavened, with jelly filling",,SR Legacy,,,"doughnuts, yeast-leavened, with jelly filling|",,,,,,,,,,,,,,
169905,"Dove, cooked (includes squab)",,SR Legacy,,,"dove, cooked (includes squab)|",,,,,,,,,,,,,,
171046,"Dressing, honey mustard, fat-free",,SR Legacy,,,"dressing, honey mustard, fat-free|",,,,,,,,,,,,,,
168531,"Drumstick leaves, cooked, boiled, drained, with salt",,SR Legacy,,,"drumstick leaves, cooked, boiled, drained, with salt|",,,,,,,,,,,,,,
168417,"Drumstick leaves, cooked, boiled, drained, without salt",,SR Legacy,,,"drumstick leaves, cooked, boiled, drained, without salt|",,,,,,,,,,,,,,
168416,"Drumstick leaves, raw",,SR Legacy,,,"drumstick leaves, raw|",,,,,,,,,,,,,,
168532,"Drumstick pods, cooked, boiled, drained, with salt",,SR Legacy,,,"drumstick pods, cooked, boiled, drained, with salt|",,,,,,,,,,,,,,
170484,"Drumstick pods, cooked, boiled, drained, without salt",,SR Legacy,,,"drumstick pods, cooked, boiled, drained, without salt|",,,,,,,,,,,,,,
170483,"Drumstick pods, raw",,SR Legacy,,,"drumstick pods, raw|",,,,,,,,,,,,,,
174467,"Duck, domesticated, liver, raw",,SR Legacy,,,"duck, domesticated, liver, raw|",,,,,,,,,,,,,,
172409,"Duck, domesticated, meat and skin, cooked, roasted",,SR Legacy,,,"duck, domesticated, meat and skin, cooked, roasted|",,,,,,,,,,,,,,
172408,"Duck, domesticated, meat and skin, raw",,SR Legacy,,,"duck, domesticated, meat and skin, raw|",,,,,,,,,,,,,,
172411,"Duck, domesticated, meat only, cooked, roasted",,SR Legacy,,,"duck, domesticated, meat only, cooked, roasted|",,,,,,,,,,,,,,
172410,"Duck, domesticated, meat only, raw",,SR Legacy,,,"duck, domesticated, meat only, raw|",,,,,,,,,,,,,,
167617,"Duck, scoter, white-winged, meat (Alaska Native)",,SR Legacy,,,"duck, scoter, white-winged, meat (alaska native)|",,,,,,,,,,,,,,
174469,"Duck, wild, breast, meat only, raw",,SR Legacy,,,"duck, wild, breast, meat only, raw|",,,,,,,,,,,,,,
174468,"Duck, wild, meat and skin, raw",,SR Legacy,,,"duck, wild, meat and skin, raw|",,,,,,,,,,,,,,
171510,"Duck, young duckling, domesticated, White Pekin, breast, meat and skin, boneless, cooked, roasted",,SR Legacy,,,"duck, young duckling, domesticated, white pekin, breast, meat and skin, boneless, cooked, roasted|",,,,,,,,,,,,,,
171511,"Duck, young duckling, domesticated, White Pekin, breast, meat only, boneless, cooked without skin, broiled",,SR Legacy,,,"duck, young duckling, domesticated, white pekin, breast, meat only, boneless, cooked without skin, broiled|",,,,,,,,,,,,,,
171112,"Duck, young duckling, domesticated, White Pekin, leg, meat and skin, bone in, cooked, roasted",,SR Legacy,,,"duck, young duckling, domesticated, white pekin, leg, meat and skin, bone in, cooked, roasted|",,,,,,,,,,,,,,
171113,"Duck, young duckling, domesticated, White Pekin, leg, meat only, bone in, cooked without skin, braised",,SR Legacy,,,"duck, young duckling, domesticated, white pekin, leg, meat only, bone in, cooked without skin, braised|",,,,,,,,,,,,,,
173461,Dulce de Leche,,SR Legacy,,,dulce de leche|,,,,,,,,,,,,,,
169779,"Dumpling, potato- or cheese-filled, frozen",,SR Legacy,,,"dumpling, potato- or cheese-filled, frozen|",,,,,,,,,,,,,,
168192,"Durian, raw or frozen",,SR Legacy,,,"durian, raw or frozen|",,,,,,,,,,,,,,
173861,"Dutch brand loaf, chicken, pork and beef",,SR Legacy,,,"dutch brand loaf, chicken, pork and beef|",,,,,,,,,,,,,,
168410,"Edamame, frozen, unprepared",,SR Legacy,,,"edamame, frozen, unprepared|",,,,,,,,,,,,,,
168772,"Egg custards, dry mix",,SR Legacy,,,"egg custards, dry mix|",,,,,,,,,,,,,,
168787,"Egg custards, dry mix, prepared with 2% milk",,SR Legacy,,,"egg custards, dry mix, prepared with 2% milk|",,,,,,,,,,,,,,
168773,"Egg custards, dry mix, prepared with whole milk",,SR Legacy,,,"egg custards, dry mix, prepared with whole milk|",,,,,,,,,,,,,,
172104,"Egg rolls, chicken, refrigerated, heated",,SR Legacy,,,"egg rolls, chicken, refrigerated, heated|",,,,,,,,,,,,,,
172103,"Egg rolls, pork, refrigerated, heated",,SR Legacy,,,"egg rolls, pork, refrigerated, heated|",,,,,,,,,,,,,,
172105,"Egg rolls, vegetable, frozen, prepared",,SR Legacy,,,"egg rolls, vegetable, frozen, prepared|",,,,,,,,,,,,,,
173462,"Egg substitute, liquid or frozen, fat free",,SR Legacy,,,"egg substitute, liquid or frozen, fat free|",,,,,,,,,,,,,,
173429,"Egg substitute, powder",,SR Legacy,,,"egg substitute, powder|",,,,,,,,,,,,,,
172189,"Egg, duck, whole, fresh, raw",,SR Legacy,,,"egg, duck, whole, fresh, raw|",,,,,,,,,,,,,,
172190,"Egg, goose, whole, fresh, raw",,SR Legacy,,,"egg, goose, whole, fresh, raw|",,,,,,,,,,,,,,
172191,"Egg, quail, whole, fresh, raw",,SR Legacy,,,"egg, quail, whole, fresh, raw|",,,,,,,,,,,,,,
172192,"Egg, turkey, whole, fresh, raw",,SR Legacy,,,"egg, turkey, whole, fresh, raw|",,,,,,,,,,,,,,
173426,"Egg, white, dried, flakes, stabilized, glucose reduced",,SR Legacy,,,"egg, white, dried, flakes, stabilized, glucose reduced|",,,,,,,,,,,,,,
173427,"Egg, white, dried, powder, stabilized, glucose reduced",,SR Legacy,,,"egg, white, dried, powder, stabilized, glucose reduced|",,,,,,,,,,,,,,
170895,"Egg, white, dried, stabilized, glucose reduced",,SR Legacy,,,"egg, white, dried, stabilized, glucose reduced|",,,,,,,,,,,,,,
172183,"Egg, white, raw, fresh",,SR Legacy,,,"egg, white, raw, fresh|",,,,,,,,,,,,,,
173423,"Egg, whole, cooked, fried",,SR Legacy,,,"egg, whole, cooked, fried|",,,,,,,,,,,,,,
173424,"Egg, whole, cooked, hard-boiled",,SR Legacy,,,"egg, whole, cooked, hard-boiled|",,,,,,,,,,,,,,
172185,"Egg, whole, cooked, omelet",,SR Legacy,,,"egg, whole, cooked, omelet|",,,,,,,,,,,,,,
172186,"Egg, whole, cooked, poached",,SR Legacy,,,"egg, whole, cooked, poached|",,,,,,,,,,,,,,
172187,"Egg, whole, cooked, scrambled",,SR Legacy,,,"egg, whole, cooked, scrambled|",,,,,,,,,,,,,,
173425,"Egg, whole, dried, stabilized, glucose reduced",,SR Legacy,,,"egg, whole, dried, stabilized, glucose reduced|",,,,,,,,,,,,,,
171287,"Egg, whole, raw, fresh",,SR Legacy,,,"egg, whole, raw, fresh|",,,,,,,,,,,,,,
172202,"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",,SR Legacy,,,"egg, whole, raw, frozen, pasteurized (includes foods for usda's food distribution program)|",,,,,,,,,,,,,,
170893,"Egg, whole, raw, frozen, salted, pasteurized",,SR Legacy,,,"egg, whole, raw, frozen, salted, pasteurized|",,,,,,,,,,,,,,
172184,"Egg, yolk, raw, fresh",,SR Legacy,,,"egg, yolk, raw, fresh|",,,,,,,,,,,,,,
173436,"Egg, yolk, raw, frozen, salted, pasteurized",,SR Legacy,,,"egg, yolk, raw, frozen, salted, pasteurized|",,,,,,,,,,,,,,
173422,"Egg, yolk, raw, frozen, sugared, pasteurized",,SR Legacy,,,"egg, yolk, raw, frozen, sugared, pasteurized|",,,,,,,,,,,,,,
171258,Eggnog,,SR Legacy,,,eggnog|,,,,,,,,,,,,,,
169352,"Eggplant, cooked, boiled, drained, with salt",,SR Legacy,,,"eggplant, cooked, boiled, drained, with salt|",,,,,,,,,,,,,,
169229,"Eggplant, cooked, boiled, drained, without salt",,SR Legacy,,,"eggplant, cooked, boiled, drained, without salt|",,,,,,,,,,,,,,
169892,"Eggplant, pickled",,SR Legacy,,,"eggplant, pickled|",,,,,,,,,,,,,,
169904,"Eggs, scrambled, frozen mixture",,SR Legacy,,,"eggs, scrambled, frozen mixture|",,,,,,,,,,,,,,
171727,"Elderberries, raw",,SR Legacy,,,"elderberries, raw|",,,,,,,,,,,,,,
168055,"Elk, free range, ground, cooked patties (Shoshone Bannock)",,SR Legacy,,,"elk, free range, ground, cooked patties (shoshone bannock)|",,,,,,,,,,,,,,
168056,"Elk, free range, ground, raw (Shoshone Bannock)",,SR Legacy,,,"elk, free range, ground, raw (shoshone bannock)|",,,,,,,,,,,,,,
